iter	Passed	Remaining
642	18770	10421
643	18798	10391
644	18828	10362
645	18859	10334
646	18888	10305
647	18915	10274
648	18946	10246
649	18973	10216
650	19002	10187
651	19030	10157
652	19059	10128
653	19090	10099
654	19121	10071
655	19152	10043
656	19179	10012
657	19210	9984
658	19239	9955
659	19269	9926
660	19297	9897
661	19329	9869
662	19360	9840
663	19387	9810
664	19416	9780
665	19444	9751
666	19474	9722
667	19502	9692
668	19533	9664
669	19561	9634
670	19594	9607
671	19625	9579
672	19654	9549
673	19684	9521
674	19711	9490
675	19742	9462
676	19772	9433
677	19801	9404
678	19831	9375
679	19860	9346
680	19889	9316
681	19917	9286
682	19948	9258
683	19976	9229
684	20005	9199
685	20033	9169
686	20063	9140
687	20091	9111
688	20123	9083
689	20159	9057
690	20187	9027
691	20215	8997
692	20242	8967
693	20269	8937
694	20300	8909
695	20330	8879
696	20358	8850
697	20388	8821
698	20418	8792
699	20444	8762
700	20474	8733
701	20505	8704
702	20535	8675
703	20563	8646
704	20591	8616
705	20623	8588
706	20640	8553
707	20668	8524
708	20697	8495
709	20728	8466
710	20756	8436
711	20783	8406
712	20814	8378
713	20845	8349
714	20872	8319
715	20902	8290
716	20931	8261
717	20960	8232
718	20989	8203
719	21017	8173
720	21047	8144
721	21077	8115
722	21103	8085
723	21132	8055
724	21172	8031
725	21200	8001
726	21227	7971
727	21255	7941
728	21282	7911
729	21311	7882
730	21342	7853
731	21369	7823
732	21398	7794
733	21418	7761
734	21447	7732
735	21475	7703
736	21501	7672
737	21531	7643
738	21560	7614
739	21604	7590
740	21635	7562
741	21666	7533
742	21697	7504
743	21728	7476
744	21756	7446
745	21786	7418
746	21813	7388
747	21846	7359
748	21878	7331
749	21912	7304
750	21943	7275
751	21975	7247
752	22009	7219
753	22040	7191
754	22068	7161
755	22101	7133
756	22133	7104
757	22162	7075
758	22204	7050
759	22235	7021
760	22268	6993
761	22296	6963
762	22326	6935
763	22358	6906
764	22390	6878
765	22419	6848
766	22450	6820
767	22477	6790
768	22507	6761
769	22540	6732
770	22572	6704
771	22617	6679
772	22651	6652
773	22682	6623
774	22719	6596
775	22754	6568
776	22787	6539
777	22816	6510
778	22850	6482
779	22881	6453
780	22910	6424
781	22938	6394
782	22970	6366
783	22979	6331
784	23010	6302
785	23042	6273
786	23073	6244
787	23099	6214
788	23131	6185
789	23158	6155
790	23187	6126
791	23203	6093
792	23237	6065
793	23264	6035
794	23292	6006
795	23321	5976
796	23337	5944
797	23369	5915
798	23397	5885
799	23426	5856
800	23455	5827
801	23484	5797
802	23514	5768
803	23541	5738
804	23574	5710
805	23604	5681
806	23633	5652
807	23661	5622
808	23690	5593
809	23722	5564
810	23754	5535
811	23782	5506
812	23791	5472
813	23823	5443
814	23852	5414
815	23881	5385
816	23911	5355
817	23939	5326
818	23969	5297
819	23998	5268
820	24028	5238
821	24057	5209
822	24086	5180
823	24116	5151
824	24143	5121
